city,latitude,longitude,elevation,slope,aspect,landcover
Karachi,24.86000,67.01000,20,1.0,180,7
Lahore,31.54972,74.34361,211,1.0,180,7
Faisalabad,31.41667,73.09111,186,1.0,180,7
Multan,30.19778,71.46972,125,1.0,180,7
Hyderabad,25.37917,68.36833,13,1.0,180,7
Peshawar,34.01444,71.56750,331,1.0,180,7
Quetta,30.19583,67.01722,1680,1.0,180,7
Sukkur,27.70611,68.84833,67,1.0,180,7
Rawalpindi,33.60000,73.03300,508,1.0,180,7
Dera Ghazi Khan,30.03306,70.64000,123,1.0,180,7
Jacobabad,28.27694,68.45139,59,1.0,180,7
Larkana,27.55833,68.21111,147,1.0,180,7
